t,timestamp,News_&_Publishing_minutely_return
-60,2018-05-09T19:01:00+00:00,0.0003113359573866
-59,2018-05-09T19:02:00+00:00,0.0003585199472752
-58,2018-05-09T19:03:00+00:00,-0.0003216030941238
-57,2018-05-09T19:04:00+00:00,-0.0003032069199738
-56,2018-05-09T19:05:00+00:00,0.0008425481752261
-55,2018-05-09T19:06:00+00:00,-0.0006699011711336
-54,2018-05-09T19:07:00+00:00,0.0005635996133861
-53,2018-05-09T19:08:00+00:00,0.000211327134404
-52,2018-05-09T19:09:00+00:00,-0.000337201144329
-51,2018-05-09T19:10:00+00:00,0.000118226643253
-50,2018-05-09T19:11:00+00:00,-1.1694362622550016e-05
-49,2018-05-09T19:12:00+00:00,-6.6058924560675e-05
-48,2018-05-09T19:13:00+00:00,-9.911457645035e-05
-47,2018-05-09T19:14:00+00:00,-0.000145046057427
-46,2018-05-09T19:15:00+00:00,-0.0001387061260177
-45,2018-05-09T19:16:00+00:00,-0.0005007010154128
-44,2018-05-09T19:17:00+00:00,-0.0004982627190206
-43,2018-05-09T19:18:00+00:00,0.001006819208299
-42,2018-05-09T19:19:00+00:00,6.888836766400002e-05
-41,2018-05-09T19:20:00+00:00,-0.0007178030833856
-40,2018-05-09T19:21:00+00:00,-0.000129641654639
-39,2018-05-09T19:22:00+00:00,0.0001842876942525
-38,2018-05-09T19:23:00+00:00,-7.761149335675047e-06
-37,2018-05-09T19:24:00+00:00,0.001094511752697
-36,2018-05-09T19:25:00+00:00,-0.0003158939388145
-35,2018-05-09T19:26:00+00:00,-0.0001734087697177
-34,2018-05-09T19:27:00+00:00,-0.0002744237102085
-33,2018-05-09T19:28:00+00:00,-0.0001423100204879
-32,2018-05-09T19:29:00+00:00,0.0014014721975954
-31,2018-05-09T19:30:00+00:00,0.000833351318754
-30,2018-05-09T19:31:00+00:00,-0.000101763227323
-29,2018-05-09T19:32:00+00:00,-0.0006113315252984
-28,2018-05-09T19:33:00+00:00,0.0002060502608456
-27,2018-05-09T19:34:00+00:00,7.8733394411375e-05
-26,2018-05-09T19:35:00+00:00,0.0001419382836054
-25,2018-05-09T19:36:00+00:00,0.0003735395620546
-24,2018-05-09T19:37:00+00:00,-0.001089873043386
-23,2018-05-09T19:38:00+00:00,2.7041034623050037e-05
-22,2018-05-09T19:39:00+00:00,-0.0002827905883807
-21,2018-05-09T19:40:00+00:00,0.0003274425719236
-20,2018-05-09T19:41:00+00:00,-0.0001441256340856
-19,2018-05-09T19:42:00+00:00,0.0007766986373417
-18,2018-05-09T19:43:00+00:00,6.64893617021e-05
-17,2018-05-09T19:44:00+00:00,-0.000278029041981
-16,2018-05-09T19:45:00+00:00,0.001423049660034
-15,2018-05-09T19:46:00+00:00,0.0005123862624035
