new_id,id,text,date,event_minute,ticker,company_name,industry,event_time_et,in_trading_hours,adjusted_event_time_et,adjusted_event_time_utc,event_1h_pre_et,event_1h_end_et,event_5d_pre_et,event_5d_end_et,event_1h_pre,event_1h_end,event_5d_pre,event_5d_end
203,1154755462925099008,"Apple will not be given Tariff wavers, or relief, for Mac Pro parts that are made in China. Make them in the USA, no Tariffs!",2019-07-26 02:08:51,2019-07-26 02:08:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-07-25 22:08:00-04:00,1,2019-07-26 09:30:00-04:00,2019-07-26 13:30:00+00:00,2019-07-26 08:30:00-04:00,2019-07-26 10:30:00-04:00,2019-07-19 09:30:00-04:00,2019-08-02 09:30:00-04:00,2019-07-26 12:30:00+00:00,2019-07-26 14:30:00+00:00,2019-07-19 13:30:00+00:00,2019-08-02 13:30:00+00:00
202,1154774656861257732,"Apple will not be given Tariff waiver, or relief, for Mac Pro parts that are made in China. Make them in the USA, no Tariffs!",2019-07-26 15:25:07,2019-07-26 15:25:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-07-26 11:25:00-04:00,0,2019-07-26 11:25:00-04:00,2019-07-26 15:25:00+00:00,2019-07-26 10:25:00-04:00,2019-07-26 12:25:00-04:00,2019-07-19 09:30:00-04:00,2019-08-02 09:30:00-04:00,2019-07-26 14:25:00+00:00,2019-07-26 16:25:00+00:00,2019-07-19 13:30:00+00:00,2019-08-02 13:30:00+00:00
188,1162500362810642437,Having dinner tonight with Tim Cook of Apple. They will be spending vast sums of money in the U.S. Great!,2019-08-16 23:04:19,2019-08-16 23:04:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-08-16 19:04:00-04:00,1,2019-08-19 09:30:00-04:00,2019-08-19 13:30:00+00:00,2019-08-19 08:30:00-04:00,2019-08-19 10:30:00-04:00,2019-08-12 09:30:00-04:00,2019-08-26 09:30:00-04:00,2019-08-19 12:30:00+00:00,2019-08-19 14:30:00+00:00,2019-08-12 13:30:00+00:00,2019-08-26 13:30:00+00:00
157,1178747450120708097,Great news! @Apple announced that it is building its new Mac Pro in Texas. This means hundreds of American jobs in Austin and for suppliers across the Country. Congratulations to the Apple team and their workers! https://t.co/FMrWFq9wcz,2019-09-30 19:04:26,2019-09-30 19:04:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-09-30 15:04:00-04:00,0,2019-09-30 15:04:00-04:00,2019-09-30 19:04:00+00:00,2019-09-30 14:04:00-04:00,2019-09-30 16:04:00-04:00,2019-09-23 09:30:00-04:00,2019-10-07 09:30:00-04:00,2019-09-30 18:04:00+00:00,2019-09-30 20:04:00+00:00,2019-09-23 13:30:00+00:00,2019-10-07 13:30:00+00:00
141,1197293250115014656,Today I opened a major Apple Manufacturing plant in Texas that will bring high paying jobs back to America. Today Nancy Pelosi closed Congress because she doesn’t care about American Workers!,2019-11-20 23:18:50,2019-11-20 23:18:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-11-20 18:18:00-05:00,1,2019-11-21 09:30:00-05:00,2019-11-21 14:30:00+00:00,2019-11-21 08:30:00-05:00,2019-11-21 10:30:00-05:00,2019-11-14 09:30:00-05:00,2019-11-29 09:30:00-05:00,2019-11-21 13:30:00+00:00,2019-11-21 15:30:00+00:00,2019-11-14 14:30:00+00:00,2019-11-29 14:30:00+00:00
140,1197492772850348034,"During my visit yesterday to Austin, Texas, for the startup of the new Mac Pro, &amp, the discussion of a new one $billion campus, also in Texas, I asked Tim Cook to see if he could get Apple involved in building 5G in the U.S. They have it all - Money, Technology, Vision &amp, Cook!l",2019-11-21 12:31:40,2019-11-21 12:31:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-11-21 07:31:00-05:00,1,2019-11-22 09:30:00-05:00,2019-11-22 14:30:00+00:00,2019-11-22 08:30:00-05:00,2019-11-22 10:30:00-05:00,2019-11-15 09:30:00-05:00,2019-12-02 09:30:00-05:00,2019-11-22 13:30:00+00:00,2019-11-22 15:30:00+00:00,2019-11-15 14:30:00+00:00,2019-12-02 14:30:00+00:00
97,1198464662960066560,Pushed hard to have Apple build in USA! https://t.co/BRfXBkJdc2,2019-11-24 04:53:36,2019-11-24 04:53:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-11-23 23:53:00-05:00,1,2019-11-25 09:30:00-05:00,2019-11-25 14:30:00+00:00,2019-11-25 08:30:00-05:00,2019-11-25 10:30:00-05:00,2019-11-18 09:30:00-05:00,2019-12-03 09:30:00-05:00,2019-11-25 13:30:00+00:00,2019-11-25 15:30:00+00:00,2019-11-18 14:30:00+00:00,2019-12-03 14:30:00+00:00
64,880049704620494848,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!",2017-06-28 13:06:14,2017-06-28 13:06:00+00:00,AMZN,"Amazon.com, Inc.",Technology & Internet,2017-06-28 09:06:00-04:00,1,2017-06-29 09:30:00-04:00,2017-06-29 13:30:00+00:00,2017-06-29 08:30:00-04:00,2017-06-29 10:30:00-04:00,2017-06-22 09:30:00-04:00,2017-07-07 09:30:00-04:00,2017-06-29 12:30:00+00:00,2017-06-29 14:30:00+00:00,2017-06-22 13:30:00+00:00,2017-07-07 13:30:00+00:00
62,888708453560184832,"A new INTELLIGENCE LEAK from the Amazon Washington Post,this time against A.G. Jeff Sessions.These illegal leaks, like Comey's, must stop!",2017-07-22 10:33:01,2017-07-22 10:33:00+00:00,AMZN,"Amazon.com, Inc.",Technology & Internet,2017-07-22 06:33:00-04:00,1,2017-07-24 09:30:00-04:00,2017-07-24 13:30:00+00:00,2017-07-24 08:30:00-04:00,2017-07-24 10:30:00-04:00,2017-07-17 09:30:00-04:00,2017-07-31 09:30:00-04:00,2017-07-24 12:30:00+00:00,2017-07-24 14:30:00+00:00,2017-07-17 13:30:00+00:00,2017-07-31 13:30:00+00:00
60,889273320574783489,"It's hard to read the Failing New York Times or the Amazon Washington Post because every story/opinion, even if should be positive, is bad!",2017-07-23 23:57:36,2017-07-23 23:57:00+00:00,AMZN,"Amazon.com, Inc.",Technology & Internet,2017-07-23 19:57:00-04:00,1,2017-07-24 09:30:00-04:00,2017-07-24 13:30:00+00:00,2017-07-24 08:30:00-04:00,2017-07-24 10:30:00-04:00,2017-07-17 09:30:00-04:00,2017-07-31 09:30:00-04:00,2017-07-24 12:30:00+00:00,2017-07-24 14:30:00+00:00,2017-07-17 13:30:00+00:00,2017-07-31 13:30:00+00:00
59,889672374458646528,"The Amazon Washington Post fabricated the facts on my ending massive, dangerous, and wasteful payments to Syrian rebels fighting Assad.....",2017-07-25 02:23:18,2017-07-25 02:23:00+00:00,AMZN,"Amazon.com, Inc.",Technology & Internet,2017-07-24 22:23:00-04:00,1,2017-07-25 09:30:00-04:00,2017-07-25 13:30:00+00:00,2017-07-25 08:30:00-04:00,2017-07-25 10:30:00-04:00,2017-07-18 09:30:00-04:00,2017-08-01 09:30:00-04:00,2017-07-25 12:30:00+00:00,2017-07-25 14:30:00+00:00,2017-07-18 13:30:00+00:00,2017-08-01 13:30:00+00:00
