t,Day,Technology_&_Internet_daily_return
-250,2017-05-23,0.0024998365379505
-249,2017-05-24,0.005996787275645
-248,2017-05-25,0.0117210378765068
-247,2017-05-26,0.0009808297576393
-246,2017-05-30,0.0027273629083415
-245,2017-05-31,-0.0053680485800739
-244,2017-06-01,0.0012601618898082
-243,2017-06-02,0.0134758222812643
-242,2017-06-05,0.0027328911422608
-241,2017-06-06,-0.0017603547054639
-240,2017-06-07,0.0024743597793852
-239,2017-06-08,-0.0002474860381039
-238,2017-06-09,-0.0306383924199879
-237,2017-06-12,-0.011879549583246
-236,2017-06-13,0.0126119056126184
-235,2017-06-14,-0.0107596141265797
-234,2017-06-15,-0.0022320508850428
-233,2017-06-16,0.0038718781009293
-232,2017-06-19,0.0164647057098977
-231,2017-06-20,-0.0073580161985438
-230,2017-06-21,0.0082688769032818
-229,2017-06-22,-0.0022316330607418
-228,2017-06-23,0.0081266937965203
-227,2017-06-26,-0.0083585524334106
-226,2017-06-27,-0.0196733755265803
-225,2017-06-28,0.0148629358120321
-224,2017-06-29,-0.0203752434326306
-223,2017-06-30,-0.0004695813323204
-222,2017-07-03,-0.010636980100657
-221,2017-07-05,0.0117346686408108
-220,2017-07-06,-0.0068598698805476
-219,2017-07-07,0.0137001854492466
-218,2017-07-10,0.0108687624646889
-217,2017-07-11,0.0022678243040671
-216,2017-07-12,0.0148255318639746
-215,2017-07-13,0.002583516644556
-214,2017-07-14,0.0090119107657588
-213,2017-07-17,0.0064213238602795
-212,2017-07-18,0.0073255512011805
-211,2017-07-19,0.0056966244333222
-210,2017-07-20,-0.0013585634886232
-209,2017-07-21,-0.0010968373184425
-208,2017-07-24,2.507189149316032e-05
-207,2017-07-25,0.0041188840334467
-206,2017-07-26,0.0119804941784575
-205,2017-07-27,-0.0212841757020582
-204,2017-07-28,0.0043556464037699
-203,2017-07-31,-0.0165174679893507
-202,2017-08-01,0.022583586192789
-201,2017-08-02,-0.0081108694263523
-200,2017-08-03,-0.0063914000983193
-199,2017-08-04,0.0053635360372427
-198,2017-08-07,0.005371819872228
-197,2017-08-08,-0.0021710887473639
-196,2017-08-09,0.001509067314725
-195,2017-08-10,-0.0264880953457792
-194,2017-08-11,0.0139551588284275
-193,2017-08-14,0.0146532739093726
-192,2017-08-15,-0.0003462757696743
-191,2017-08-16,-0.0007749216407953
-190,2017-08-17,-0.0173962218520256
-189,2017-08-18,-0.0005629488656865
-188,2017-08-21,-0.0012350177064853
-187,2017-08-22,0.0148346952924681
-186,2017-08-23,-0.0063800384467685
-185,2017-08-24,-0.0014734044862993
-184,2017-08-25,-0.0049587219081452
-183,2017-08-28,-0.0022143308522921
-182,2017-08-29,0.0142357425024644
-181,2017-08-30,0.0090534708940964
-180,2017-08-31,0.0101831261792828
-179,2017-09-01,-0.0028462856200615
-178,2017-09-05,-0.0095905371549856
-177,2017-09-06,-0.0006686943413776
-176,2017-09-07,0.008671172560921
-175,2017-09-08,-0.0113636641421704
-174,2017-09-11,0.0117479258890761
-173,2017-09-12,0.000101933664976
-172,2017-09-13,0.0030197080428845
-171,2017-09-14,-0.0109616238400596
-170,2017-09-15,0.0054856156593781
-169,2017-09-18,-0.0070481415939584
-168,2017-09-19,0.0028840511353749
-167,2017-09-20,-0.0017531871257728
-166,2017-09-21,-0.0091936375687915
-165,2017-09-22,-0.0049407586071764
-164,2017-09-25,-0.0176818464140489
-163,2017-09-26,0.0059176450734016
-162,2017-09-27,0.0144379349824577
-161,2017-09-28,0.0018863144299028
-160,2017-09-29,0.008351642611844
-159,2017-10-02,-0.0039967176644963
-158,2017-10-03,0.0015374664386448
-157,2017-10-04,-0.001017494469348
-156,2017-10-05,0.0151471140719124
-155,2017-10-06,0.0051238297879917
-154,2017-10-09,0.0020137381543753
-153,2017-10-10,-0.002871976558259
-152,2017-10-11,0.0074538561175861
-151,2017-10-12,0.0024610562363471
-150,2017-10-13,0.0051653171551784
-149,2017-10-16,0.0057867256834016
-148,2017-10-17,0.0030525550696355
-147,2017-10-18,-0.0047823461098341
-146,2017-10-19,-0.0082118787664855
-145,2017-10-20,0.0030183351230646
-144,2017-10-23,-0.0110688919414454
-143,2017-10-24,0.0032647634706474
-142,2017-10-25,-0.000718855427074
-141,2017-10-26,0.0336666549819656
-140,2017-10-27,0.029078852675535
-139,2017-10-30,0.0080928219156039
-138,2017-10-31,0.0013171623885943
-137,2017-11-01,-0.0043395770041787
-136,2017-11-02,0.0104276016538134
-135,2017-11-03,0.00130525536889
-134,2017-11-06,0.0056333815026907
-133,2017-11-07,0.0011367014398613
-132,2017-11-08,0.0064317885791753
-131,2017-11-09,-0.0048129094106226
-130,2017-11-10,-0.0052841075351748
-129,2017-11-11,0.000163813162795
-128,2017-11-13,5.280017077267992e-05
-127,2017-11-14,-0.001450641443142
-126,2017-11-15,-0.0073357640718637
-125,2017-11-16,0.0085486122250509
-124,2017-11-17,-0.0083807283508154
-123,2017-11-18,-0.0001348666536396
-122,2017-11-20,-0.0002362063290237
-121,2017-11-21,0.015378635527331
-120,2017-11-22,0.0029716181972579
-119,2017-11-23,-6.4040929730175e-05
-118,2017-11-24,0.0082406500999956
-117,2017-11-27,0.0053118681394788
-116,2017-11-28,-0.0020305640745323
-115,2017-11-29,-0.0252130563842839
-114,2017-11-30,0.0095841518220867
-113,2017-12-01,-0.0079282173699969
-112,2017-12-02,-0.0001753543311793
-111,2017-12-04,-0.0198612166368747
-110,2017-12-05,0.0059103863829619
-109,2017-12-06,0.0107158973837071
-108,2017-12-07,0.0076382953340617
-107,2017-12-08,0.0034861299746702
-106,2017-12-09,6.577697374508962e-05
-105,2017-12-11,0.0078937093031308
-104,2017-12-12,-0.0036485809572532
-103,2017-12-13,0.0018721449407106
-102,2017-12-14,0.0003684554711005
-101,2017-12-15,0.0137470676395865
-100,2017-12-16,-1.2178924896500009e-05
-99,2017-12-18,0.0066028727372066
-98,2017-12-19,-0.0072462289983741
-97,2017-12-20,-0.0043960398945603
-96,2017-12-21,-0.0006632616046431
-95,2017-12-22,-0.0020839470734054
-94,2017-12-23,-0.0002321157469149
-93,2017-12-26,-0.0048920511165523
-92,2017-12-27,0.0019434723279498
-91,2017-12-28,-2.175051398962012e-05
-90,2017-12-29,-0.0074747333934427
-89,2017-12-30,0.0002006622570489
-88,2018-01-02,0.0173419491231635
-87,2018-01-03,0.0107545337355334
-86,2018-01-04,0.0044701467655287
-85,2018-01-05,0.0131454048302591
-84,2018-01-06,0.0004179359562295
-83,2018-01-08,0.0036480656040822
-82,2018-01-09,-0.0002352855320159
-81,2018-01-10,-0.000106366849057
-80,2018-01-11,0.0056590167866479
-79,2018-01-12,0.0044520629916109
-78,2018-01-13,0.0005690436426749
-77,2018-01-16,-0.0087858667966321
-76,2018-01-17,0.0099879665512921
-75,2018-01-18,0.0006795862827459
-74,2018-01-19,0.0024388519065439
-73,2018-01-20,0.0002769870032346
-72,2018-01-22,0.0189386943610944
-71,2018-01-23,0.0077156855374205
-70,2018-01-24,-0.0078425371243331
-69,2018-01-25,0.0056640009420894
-68,2018-01-26,0.0114571355822248
-67,2018-01-27,0.0001378623111892
-66,2018-01-29,-0.0067933500029019
-65,2018-01-30,-0.0022928654184242
-64,2018-01-31,0.0095200166955891
-63,2018-02-01,0.0097765950217138
-62,2018-02-02,-0.0379034014185497
-61,2018-02-03,-0.0012274592148869
-60,2018-02-05,-0.041466409385943
-59,2018-02-06,0.0368443532004083
-58,2018-02-07,-0.0275247020229407
-57,2018-02-08,-0.0362243591267119
-56,2018-02-09,0.0209114414573024
-55,2018-02-10,5.297088036992498e-05
-54,2018-02-12,0.0174482736611058
-53,2018-02-13,0.0036705669577869
-52,2018-02-14,0.0228976471590239
-51,2018-02-15,0.0162962161839464
-50,2018-02-16,-0.0083110433109927
-49,2018-02-17,0.0001184071094728
-48,2018-02-20,0.0046585003095622
-47,2018-02-21,-0.000225486296284
-46,2018-02-22,0.0080919853285023
-45,2018-02-23,0.0164075003134135
-44,2018-02-24,-0.0002353075551046
-43,2018-02-26,0.0148084468767411
-42,2018-02-27,-0.0110819782691438
-41,2018-02-28,-0.0070516562882023
-40,2018-03-01,-0.0174772153693247
-39,2018-03-02,0.0044204808459801
-38,2018-03-03,0.0003595139030349
-37,2018-03-05,0.0105719938588236
-36,2018-03-06,-0.0125840533261809
-35,2018-03-07,0.0209628339123528
-34,2018-03-08,0.0064452664000002
-33,2018-03-09,0.0183149056934818
-32,2018-03-10,-9.4632775903075e-05
-31,2018-03-12,0.0069597097297246
-30,2018-03-13,-0.0173120117548932
-29,2018-03-14,0.0037332427846586
-28,2018-03-15,0.001277247790976
-27,2018-03-16,-0.0042595292508043
-26,2018-03-19,-0.0341813686460232
-25,2018-03-20,0.0039168938752478
-24,2018-03-21,-0.0036968027484542
-23,2018-03-22,-0.0370885905345465
-22,2018-03-23,-0.0190406374770117
-21,2018-03-26,0.0409587076003956
-20,2018-03-27,-0.0390745405082906
-19,2018-03-28,-0.0110722000121675
-18,2018-03-29,0.0211599137211232
-17,2018-04-02,-0.0277862318903814
-16,2018-04-03,0.0061441804880949
-15,2018-04-04,0.0254444355497423
-14,2018-04-05,-0.0137136108094714
-13,2018-04-06,-0.0056429788633831
-12,2018-04-09,0.0051366329276976
-11,2018-04-10,0.0243022141185459
-10,2018-04-11,-0.0010890613019305
-9,2018-04-12,0.0046994845483279
-8,2018-04-13,-0.0001379949121112
-7,2018-04-16,0.0103917722467126
-6,2018-04-17,0.0231973954569213
-5,2018-04-18,0.0049179664574526
-4,2018-04-19,-0.0027981020527284
-3,2018-04-20,-0.0167833852607975
-2,2018-04-23,-0.0047642130637914
-1,2018-04-24,-0.0290358578605695
0,2018-04-25,0.0220631561053595
1,2018-04-26,0.0299520982371869
2,2018-04-27,-0.0160016812370177
3,2018-04-30,-0.0033094222671147
4,2018-05-01,0.0234034972258782
5,2018-05-02,-0.0055349373678984
6,2018-05-03,0.0002107527911652
7,2018-05-04,0.0192180982945584
8,2018-05-07,0.0077179686397906
9,2018-05-08,0.0009618609559997
10,2018-05-09,0.0163218583490101
